,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
close,0.05709390714764595,27010.0,12.86032913257866,0.003996696293524349,0.010865974675941715,0.007596433884835207,9007.639141013242,0.007486368284767091,4503.823313690764,False,False,False
f_ema20_slope,0.04849347472190857,11910.0,3.1970199955552085,-0.006051336237908267,0.0020563088866602077,-0.0003655857731790668,3971.0818378234258,-0.0014535377081423752,1985.540192142859,False,False,False
f_macd_12_26_9_hist,0.050445955246686935,19374.0,5.996058403974924,0.002908637996033325,0.005339985624038845,0.004544738429977513,6460.015501453075,0.004264454016683228,3230.009882953545,False,False,False
f_di_diff_14,0.04997194930911064,18848.0,6.383186825237229,0.009712740452016515,0.013516190350481594,0.014788310420141153,6284.811052924849,0.012672413740879754,3142.411862669295,False,False,False
f_rsi_5,0.04856398329138756,16138.0,4.3886471833603675,0.002028725642736551,0.009282904546274607,0.004175388742802322,5380.812403722218,0.005162339643937826,2690.408783030931,False,False,False
f_rsi_14,0.049303870648145676,14129.0,4.605044238622534,0.007943809381593458,0.00677243130092553,0.017423691761197797,4711.218116036423,0.01071331081457226,2355.614414673619,False,False,False
f_roc_5,0.04681739583611488,15372.0,2.35592402217332,0.002176548889843788,0.004238824456131241,0.0029373644345147333,5124.800913806003,0.003117579260163254,2562.4020156926313,False,False,False
f_atr_14_pct,0.052244141697883606,22413.0,8.302045181959032,0.004340887210372091,0.00967526166867253,0.004807426294776618,7473.784763107885,0.006274525057940412,3736.8955188164723,False,False,False
f_range_over_atr,0.05083659291267395,18909.0,5.534422746669332,0.0007983716488106252,0.0022278802058384394,-0.0023256617810499037,6304.861753113194,0.0002335300245330537,3152.4309933216095,False,False,False
f_donchian_pos_20,0.04863923415541649,17947.0,5.737121003916468,0.0016896031080616992,0.007921503396858088,0.00473818194533987,5984.261920079357,0.004783096150086552,2992.133351587754,False,False,False
f_keltner_pos_20,0.04904894903302193,11581.0,3.520644678295367,-2.150856627197717e-05,0.001956124764241751,0.0034059147085963915,3861.52323120911,0.0017801769688553886,1930.7625056930394,False,False,False
f_bandwidth_20,0.05170297995209694,21761.0,7.716834368244191,-0.0001705722599861237,0.006629236937010752,0.005900882843835609,7256.256179116065,0.004119849173620079,3628.130149482619,False,False,False
f_ret_12,0.04839479550719261,17023.0,4.685660145538672,-0.0017783792613522476,0.00643720380782159,0.0030186308805334795,5675.911351647016,0.0025591518090009404,2837.956955399412,False,False,False
f_ret_1_z20,0.04492470622062683,18014.0,3.8905745780859364,0.0012187886160855532,0.004939939393225889,0.00018463716872296754,6005.978499761436,0.0021144550593448033,3002.9903071082476,False,False,False
f_rolling_mean_ret_5,0.04773135110735893,6910.0,2.4559960865285726,0.000496971799979129,0.00178188514784543,-0.0017102252707729027,2304.1679091458786,0.0001895438923505521,1152.0840493448857,False,False,False
f_zscore_close_50,0.051058344542980194,17337.0,6.116804409092307,-0.001969748015522721,0.002244057298483082,0.001016180500781605,5781.055954251212,0.0004301632612473219,2890.528192207236,False,False,False
f_vwap_dev_over_atr14,0.049975186586380005,16959.0,5.521553221235379,0.001989098236597431,0.0087533380802302,0.004637370652298023,5654.857176135941,0.005126602323041885,2827.431151369132,False,False,False
f_psar_trend,0.0567680262029171,1191.0,0.5495538488748566,0.002815542319548703,0.00388542562174784,0.002282425143746325,397.2021072916926,0.002994464361680956,198.60255087802713,False,False,False
f_hour_of_day_sin,0.04877108708024025,8775.0,3.1885442449100125,0.00045631247781501293,0.002126295842880732,0.001250359998950057,2926.079105110663,0.0012776561065486007,1463.040191383385,False,False,False
f_hour_of_day_cos,0.049214091151952744,8399.0,2.994035685147619,0.003299444047654909,0.004159628466325271,0.004953468608066924,2800.6810832587666,0.004137513707349035,1400.3426103862369,False,False,False
