,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.0704193189740181,21589.0,6.723854892048695,-0.0006437115672854987,0.0024430508450045017,0.0034587663733607887,7198.5980914036745,0.001752701883693264,3599.2999220527795,False,False,False
f_di_diff_14,0.07125553488731384,20948.0,6.314607226343023,0.004499215435511556,0.00543272787278497,0.00676510351006675,6984.795287587077,0.005565682272787759,3492.400426634675,False,False,False
f_adx_14,0.07180684804916382,25835.0,9.504096261389135,-0.004196304065524103,0.0021254131562378543,-0.0007880351707312605,8614.858634369813,-0.0009529753600058365,4307.428840697227,False,False,False
f_roc_5,0.06852523982524872,20515.0,5.350217567989912,0.001373817192416482,0.003000663410856175,0.002188776734475828,6840.139580935938,0.0021877524459161615,3420.070884344192,False,False,False
f_atr_14_pct,0.07298391312360764,23908.0,9.039137819920635,0.0006603924350191637,0.0066798306653310215,0.0033807557363385587,7972.370707244348,0.0035736596122295816,3986.18714045198,False,False,False
f_return_std_20,0.0731765478849411,24806.0,9.734084579354068,-0.0006778094083859987,0.003477003392209499,0.006093805118546814,8271.93575370908,0.002964333034123438,4135.969359021057,False,False,False
f_range_over_atr,0.07134462893009186,21627.0,5.84131598676855,0.0004080800495500192,0.004036867293410495,0.0006407334056045544,7210.970886871899,0.0016952269161883563,3605.486291049407,False,False,False
f_donchian_pos_20,0.07028049230575562,21227.0,6.352869428188463,0.007167595790990694,0.011104708611499464,0.0092148069313852,7077.8077166401645,0.00916237044462512,3538.9084395053046,False,False,False
f_bandwidth_20,0.07311186194419861,23327.0,8.109926651836872,-0.0005950050598803713,0.0024280046770004393,0.0029969383874530408,7778.39434617126,0.001609979334857703,3889.1979780752977,False,False,False
f_ret_12,0.06952720135450363,19387.0,5.025783183619358,0.004306300150549519,0.007196124733045162,0.005832440099910308,6464.031770128325,0.005778288327834996,3232.0187742083267,False,False,False
f_ret_24,0.07240564376115799,21595.0,6.997001346652002,0.002240395593611716,0.006165249708313414,0.003527713947908251,7200.689802330137,0.003977786416611127,3600.346890058277,False,False,False
f_rolling_std_ret_5,0.07373498380184174,24026.0,7.820680592137543,-0.00323018234921274,0.003562767633464825,0.003125312037585937,8011.298138525312,0.001152632440612674,4005.6496455788765,False,False,False
f_zscore_close_50,0.07078718394041061,19868.0,6.494358673168098,-0.0012796448127804893,0.0017008379389565897,0.0015668857279128368,6624.855048619036,0.0006626929513629792,3312.4278556559934,False,False,False
f_vwap_dev_over_atr14,0.07064057141542435,21342.0,6.692065790583637,0.0026282645482347488,0.006779041582086742,0.002594722588953735,7116.254235453999,0.004000676239758408,3558.129118065119,False,False,False
