,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.047521017491817474,17345.0,4.860499023440374,0.0011334082225828435,0.0034920150038861286,-0.0014610870957255107,5783.302673346978,0.0010547787102478205,2891.6518640628437,False,False,False
f_di_diff_14,0.0483480840921402,16566.0,5.060741500548069,0.004646089926060376,0.008834601327766122,0.0055740285614899075,5523.703029861546,0.006351573271772135,2761.854690717409,False,False,False
f_adx_14,0.048504553735256195,21174.0,8.032675987237402,-0.0020578847482015995,0.003859561992569915,0.00021694631724068493,7060.693726846991,0.0006728745205363336,3530.347199860756,False,False,False
f_roc_5,0.043970126658678055,15940.0,3.837942810520731,0.002260168735198165,0.0050690237527136195,-2.4800989571993616e-05,5314.627304312393,0.002434797166113263,2657.3148695547798,False,False,False
f_atr_14_pct,0.04946092143654823,19965.0,7.239077201598383,0.0007622987778842294,0.007153186509708665,0.0027148026682393355,6657.4295127076775,0.003543429318610743,3328.7165280684985,False,False,False
f_return_std_20,0.05030948296189308,20664.0,8.167277266846899,0.006972888291519768,0.008193745550720744,0.004869124492062238,6890.739195583269,0.00667858611143425,3445.3729370846904,False,False,False
f_range_over_atr,0.04687013477087021,16906.0,4.018224048538197,0.0010714872506473738,0.002624017807500212,0.0006520770357627992,5636.688364727769,0.0014491940313034616,2818.344906960901,False,False,False
f_donchian_pos_20,0.045996684581041336,12723.0,2.967381563989591,0.000584615188587756,0.006761437071411858,0.007182228881482494,4242.00445941619,0.004842760380494036,2121.0046510882853,False,False,False
f_bandwidth_20,0.04947807267308235,18139.0,5.954732480863471,0.0011955526901517356,0.0036754728672774516,0.0042216350506178,6048.334736851179,0.0030308868693489956,3024.1688838690243,False,False,False
f_ret_12,0.04522150382399559,15182.0,3.6648980883005717,0.004462151550367355,0.010213841318705086,0.007009505873901356,5061.903373197375,0.007228499580991266,2530.9553008484777,False,False,False
f_ret_24,0.048680566251277924,17303.0,5.281706153039674,0.005201514888214564,0.00544833762608884,0.0054350031342308425,5769.443462239764,0.005361618549511415,2884.7244119291568,False,False,False
f_rolling_std_ret_5,0.049881163984537125,19195.0,6.283713527788534,-0.00046309915434292746,0.0022582421580656154,0.00019664010324522697,6400.444531563924,0.0006639277023226383,3200.2225977458133,False,False,False
f_zscore_close_50,0.04703720659017563,15987.0,5.1163626264781366,-0.003171830947613219,0.0057010311047733684,-0.00023108746026505588,5330.72113327769,0.000766037565631698,2665.3609496576278,False,False,False
f_vwap_dev_over_atr14,0.046165890991687775,16451.0,5.145435022839894,-0.002837443754193092,0.0023395806357761396,-0.0010107274664188704,5485.397200304611,-0.0005028635282786076,2742.6983487205416,False,False,False
f_donchian_dist_upper_20_over_atr14,0.04746460169553757,15486.0,4.340023564400033,0.004814103370843481,0.004882071283847889,0.0006254043227106654,5163.462496055366,0.003440526325800678,2581.7329682908453,False,False,False
f_donchian_dist_lower_20_over_atr14,0.04735289141535759,15052.0,4.600869081001533,0.00406440081442957,0.010709542890036571,0.0051912282369346195,5018.882740657472,0.006655057313800253,2509.444697857393,False,False,False
f_bars_since_upper_break_20,0.05048529431223869,16496.0,6.889426862536048,0.004809119364666614,0.00804153587572235,0.0018271709639634647,5500.9799707189495,0.004892608734784143,2750.492431663842,False,False,False
f_bars_since_lower_break_20,0.0500454343855381,15707.0,6.98424959550459,-0.0006970153111768961,0.0035086450982309446,0.001583825160132768,5238.01143167663,0.001465151649062272,2619.00644841414,False,False,False
f_sess_london_open,0.049852337688207626,1584.0,0.6604537071471106,0.0023391740196569643,0.0020269129581533484,0.0017557698890274475,528.2367686816118,0.0020406189556125866,264.1194046502837,False,False,False
f_sess_ny_open,0.04495711624622345,1591.0,0.6278975894880104,-0.004133089752399499,0.0012644854728233734,0.0012641810936211196,530.5576182352447,-0.0005348077286516686,265.278541713758,False,False,False
f_sess_overlap,0.042397063225507736,544.0,0.2664122978927685,-5.173382139077587e-05,6.923138749589385e-05,-0.0006825288372887206,181.43626978703944,-0.0002216770903945342,90.71802405497452,False,False,False
