,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.059277214109897614,21046.0,6.747759330897645,0.0025345636316119633,0.0017892491400626654,0.0016319211623718965,7017.6023455150025,0.001985244644682175,3508.8021653798237,False,False,False
f_di_diff_14,0.05838361755013466,20481.0,6.326029651300658,0.00959917233397468,0.0036672849576057875,0.006650786231102312,6829.128137756284,0.006639081174227593,3414.567388418729,False,False,False
f_adx_14,0.05937204509973526,25691.0,9.293379282749855,0.000535419821962213,0.0014730653868739174,0.0037543504380018965,8566.784250442617,0.0019209452156126756,4283.393085693916,False,False,False
f_roc_5,0.055965814739465714,19947.0,5.166206205291639,0.004237208491938949,0.001966546247004797,0.002309891905883077,6650.740724006678,0.002837882214942274,3325.371780944446,False,False,False
f_atr_14_pct,0.060223713517189026,23897.0,8.907419053239911,0.004069523972672717,0.005769934060559634,0.005152073415082492,7968.655880922252,0.0049971771494382805,3984.3304390497015,False,False,False
f_return_std_20,0.059869974851608276,24618.0,9.532936975174435,0.006742554385754907,0.003194607291863827,0.005161255965121692,8209.197602316675,0.005032805880913475,4104.601317561278,False,False,False
f_range_over_atr,0.05978064239025116,21686.0,5.581640190218263,0.0012169453823431709,-0.000943921881233234,0.0015399114748696151,7230.5471402775365,0.0006043116586598507,3615.273872294598,False,False,False
f_donchian_pos_20,0.05832316353917122,20631.0,6.0610651212078475,0.009747175150463661,0.008716665870201663,0.008872498691004394,6879.039796094916,0.009112113237223239,3439.524454104077,False,False,False
f_bandwidth_20,0.0604935958981514,23207.0,7.933831423108159,0.0002631798077050829,0.0003652643333034833,0.0029557671440982314,7738.331441673003,0.0011947370950355992,3869.166318205049,False,False,False
f_ret_12,0.056943129748106,18750.0,5.064831398211996,0.003253933950360144,0.004752298644670927,0.006932433968844543,6251.707258175987,0.004979555521291872,3125.8561188657545,False,False,False
f_ret_24,0.06008791923522949,21311.0,6.910312596755697,0.00512807233211644,0.0026019351425420447,0.0036101331427433212,7105.99013350533,0.0037800468724672686,3552.9969567761013,False,False,False
f_rolling_std_ret_5,0.06111898273229599,23629.0,7.551621604056063,0.0011742733628200997,0.0024373356687821812,0.00013758569384311192,7878.870913528929,0.0012497315751484642,3939.4360816302524,False,False,False
f_zscore_close_50,0.05743143707513809,20057.0,6.362866340964511,0.0015078558292174193,-0.001089733024297601,-0.0002768832753834216,6687.806765926013,4.7079843178798884e-05,3343.903406502928,False,False,False
f_vwap_dev_over_atr14,0.058044224977493286,20485.0,6.5204006412716105,0.003468318770992229,0.0007017876005570467,0.0073195671750469924,6830.52614828875,0.003829891182198756,3415.264989089966,False,False,False
f_sess_london_open,0.06021229550242424,1806.0,0.8222790662471753,0.003103615998863074,-0.0006335009340345365,0.0015414566091763616,602.2941637872499,0.001337190558001633,301.1477504889039,False,False,False
f_sess_ny_open,0.059988148510456085,2089.0,0.8627467231647885,-0.000668389429471905,0.0019460326558245588,-0.0004368515813377938,696.6409116238918,0.00028026388167162,348.3205959438867,False,False,False
f_sess_overlap,0.05448412895202637,669.0,0.3546743961397439,5.37964554127246e-05,0.00098538452652277,-0.00033547691796064204,223.1363861750306,0.0002345680213249508,111.56831037152597,False,False,False
