,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
close,0.09119146317243576,37886.0,16.049831971414775,0.006003713201867877,0.011557647016759164,0.010405808769231162,12634.04700781153,0.009322389662619402,6317.028165100596,False,False,False
f_ema20_slope,0.0820193663239479,25121.0,7.810118850005375,-0.002558848350231668,0.0052771507553713405,0.0051588360391394365,8376.297379405443,0.002625712814759703,4188.150002559129,False,False,False
f_di_diff_14,0.08456507325172424,29115.0,9.337676108448616,0.011301306177206493,0.012027620252046733,0.009685388748221491,9708.140747060566,0.011004771725824905,4854.075875916146,False,False,False
f_rsi_5,0.08090770244598389,26778.0,7.703395958444926,0.004380496015323943,0.0038417857978372827,0.0032562362867506467,8928.594767886963,0.003826172699970624,4464.299297029832,False,False,False
f_rsi_14,0.08425469696521759,25201.0,8.16062329657098,0.014178650982526747,0.013458656377368927,0.02181246307709612,8403.081625997846,0.016483256812330597,4201.549054627329,False,False,False
f_roc_5,0.08302818983793259,28022.0,7.442481893437549,-0.0013488352436397677,0.0052703160052710585,0.0022352338259244986,9343.175170027758,0.00205223819585193,4671.588611132977,False,False,False
f_donchian_pos_20,0.08196128904819489,28985.0,9.082599628439871,0.005130670465014864,0.007118392192540357,0.004016325104613827,9664.72152030583,0.005421795920723016,4832.363471050875,False,False,False
f_ret_12,0.08261049538850784,29070.0,8.369416790732423,0.006458657105452137,0.008188288983170977,0.004696048594992263,9692.817342428707,0.006447664894538459,4846.411895046801,False,False,False
f_zscore_close_50,0.08284572511911392,27350.0,9.067414776926999,0.0024655932027659254,-0.0022340174172471917,0.004447014797103743,9119.716753500683,0.0015595301942074923,4559.859156515438,False,False,False
f_vwap_dev_over_atr14,0.08495890349149704,27313.0,8.764773720358333,0.0026086657891638554,0.00441353954704643,0.005605692795233375,9107.28324420795,0.004209299377147886,4553.643726753664,False,False,False
f_hour_of_day_sin,0.07894434779882431,12186.0,4.007242995728025,0.0019383821344481245,0.004415205226759167,0.0024521331200629158,4063.362062447842,0.0029352401604234024,2031.6824988440012,False,False,False
f_hour_of_day_cos,0.08271275460720062,12973.0,4.204424009492134,0.002458599155569807,0.0037583459820784483,0.002024633051782887,4325.762378921367,0.002747192729810381,2162.882563057048,False,False,False
