,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.14013873040676117,42840.0,13.067931919482454,0.005030159570000414,0.0014132396051764972,0.0036891348439067385,14284.40269021663,0.00337751133969455,7142.203033863984,False,False,False
f_di_diff_14,0.14041639864444733,40960.0,12.28234207052326,0.006508856830173715,0.003281822152710767,0.004202429605992641,13657.474252823056,0.0046643695296257085,6828.739458596293,False,False,False
f_adx_14,0.1452292948961258,47255.0,15.795172859616716,0.003320392534162564,-0.0014518120028132243,-0.001531755804606938,15756.980134051504,0.00011227490891413394,7878.490123163207,False,False,False
f_atr_14_pct,0.14391803741455078,45757.0,15.805067740227477,0.0035135626999780343,0.0029237283015295713,0.0005375374471065841,15257.649661925881,0.00232494281620473,7628.825993434348,False,False,False
f_return_std_20,0.1474926918745041,47831.0,16.512762994168888,0.006804578341928125,0.0023296025317917023,0.003972452292434481,15949.220085228682,0.004368877722051436,7974.612227053202,False,False,False
f_bandwidth_20,0.14263202250003815,43888.0,14.196254496001004,0.006270602856909257,0.002314628320891099,0.00432933763729787,14634.112962172834,0.004304856271699409,7317.058633514553,False,False,False
f_zscore_close_50,0.14017285406589508,41469.0,12.340467919980208,0.004203998394150321,0.0016837022109321698,0.0040568097376462555,13827.160213591349,0.003314836780909582,6913.5817642140655,False,False,False
