,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.04580621048808098,14159.0,4.11245980730113,-0.0025894262682348733,0.0038711950684378604,0.003833665625507088,4721.052755339263,0.001705144808570025,2360.527230242036,False,False,False
f_di_diff_14,0.046736035495996475,12499.0,3.5393394348432516,0.001351734377084357,0.008532327431583752,0.011563761631271619,4167.528691823446,0.00714927447997991,2083.7679205489635,False,False,False
f_adx_14,0.04878801852464676,16843.0,6.215165434415076,-0.0043665939434474835,0.004476173703927599,0.0022292732479202047,5616.421317817647,0.0007796176694667735,2808.211048717658,False,False,False
f_roc_5,0.04316984862089157,12333.0,2.837432384770557,-0.0010386453142117945,0.003643830683830884,0.00017878381834065537,4111.960200744464,0.000927989729319915,2055.9805643670966,False,False,False
f_atr_14_pct,0.049265794456005096,15528.0,5.530911309875304,-0.007631519491019856,0.0022839600548228423,0.0026647529111057167,5177.860059034777,-0.0008942688416970989,2588.9295823829675,False,False,False
f_return_std_20,0.04949873685836792,15084.0,5.978651573246854,-0.003417850631563668,0.00139814913904992,0.0030499586223084463,5030.009383436702,0.0003434190432648994,2515.0048634278724,False,False,False
f_range_over_atr,0.046577390283346176,13085.0,2.7534986799287466,-0.0026406881686359294,0.00452933556796935,0.0011959392620593979,4362.600025356737,0.001028195553797606,2181.300526776146,False,False,False
f_donchian_pos_20,0.04598654806613922,12660.0,3.5667871198911554,0.0020437983229995792,0.005041414779300013,0.01165745373499677,4221.204257889319,0.006247555612432121,2110.6052527224656,False,False,False
f_bandwidth_20,0.04872819408774376,14671.0,4.607872739551335,-0.004254852325767144,0.0011591015736825971,0.0052483367275040545,4891.885533644546,0.0007175286584731692,2445.9431255866025,False,False,False
f_ret_12,0.04404018819332123,11783.0,2.533139699568777,-0.0008639177839199319,0.0033166419434608853,0.0031486944365638923,3928.5257266292538,0.0018671395320349485,1964.263796884393,False,False,False
f_ret_24,0.04725371673703194,13263.0,4.1220261732886305,-0.00237898537800717,0.00372512139372736,0.005699441309360798,4422.389759963342,0.002348525775026996,2211.1960542445586,False,False,False
f_rolling_std_ret_5,0.04823785647749901,14464.0,4.118503995148595,-0.0001454579970026737,0.0017226835326769386,0.0033979748518796703,4822.722247283876,0.001658400129184645,2411.361952842002,False,False,False
f_zscore_close_50,0.047074057161808014,12538.0,3.8741040729416034,-0.004988947685264112,0.0009399867294703102,0.0036570583957478363,4180.640392710035,-0.00013063418668198844,2090.320131037924,False,False,False
f_vwap_dev_over_atr14,0.04608544707298279,12874.0,3.9156936034700567,-0.0052586424791117746,0.004164686568598974,0.003171557202548392,4292.653926350181,0.0006925337640118638,2146.3273094419724,False,False,False
f_rolling_skew_ret_20,0.04865202307701111,15120.0,5.219940517211676,-0.005451781301176706,0.0026020464199582815,0.0028701463919359018,5041.7561975134295,6.803836905825706e-06,2520.8781021586333,False,False,False
f_rolling_kurt_ret_20,0.04779312387108803,15796.0,5.0496466988610695,0.00016596099825456624,0.005356595749409443,0.007781557969618802,5267.032479940911,0.004434704905760937,2633.5184573229085,False,False,False
f_autocorr_ret1_lag1,0.05074077099561691,17416.0,6.704801306059666,-0.0013389121912232294,0.007982771135809108,0.006400078752892413,5807.585180692352,0.004347979232492764,2903.7947643357916,False,False,False
f_autocorr_ret1_lag2,0.04850747063755989,17361.0,6.154726836410007,0.0006300788301596861,0.0053108425619258545,0.004699238285283592,5789.067744769015,0.0035467198924563777,2894.535645744454,False,False,False
f_autocorr_ret1_lag3,0.049060940742492676,17588.0,6.096536092903305,0.00040054274451906124,0.003076357679468333,0.006447498741401847,5864.715199011215,0.003308133055129747,2932.359253572135,False,False,False
f_autocorr_ret1_lag4,0.04770856350660324,17335.0,6.323907431200012,-0.002300695761498106,0.0026691228258689304,0.005939568959608921,5780.457205331569,0.0021026653413265817,2890.229653998456,False,False,False
f_autocorr_ret1_lag5,0.05028901249170303,17600.0,6.744855089113184,-0.004426712072037009,-0.0012390283836160698,-0.0004729614408134353,5868.931714700535,-0.0020462339654888384,2934.4648342332844,False,False,False
