,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.06250029057264328,19434.0,6.28365153494051,0.005721342046538747,0.002169756956380997,0.0017610895601471999,6480.1153839418375,0.003217396187688981,3240.059300669013,False,False,False
f_di_diff_14,0.06336764246225357,18616.0,5.919220266657748,0.011719501695427393,0.006932044868555876,0.007294824479963125,6207.327529303039,0.008648790347982131,3103.6680890466937,False,False,False
f_adx_14,0.06351543217897415,23537.0,9.182348742023377,0.006219818176713932,0.002969253914068615,0.005246291697649253,7848.748621391401,0.0048117879294772665,3924.3767165896647,False,False,False
f_roc_5,0.05951101705431938,18432.0,4.815463412262807,0.005652041036735933,0.004204389507626094,0.002373671121055676,6145.6249914764385,0.004076700555139235,3072.814534088497,False,False,False
f_atr_14_pct,0.06375760585069656,18836.0,6.754034352534576,0.004220393824394764,0.0032275457828081166,0.0008564112347714259,6280.939263986129,0.0027681169473247687,3140.4710160515383,False,False,False
f_return_std_20,0.06554015725851059,20088.0,7.547673310477961,0.0064705530232401776,0.004745756195320217,0.002689141719785182,6698.5377378225785,0.004635150312781859,3349.2711864864455,False,False,False
f_range_over_atr,0.0629383847117424,19510.0,5.213987150286973,0.004603697317445099,-0.0009218627674699942,0.002017575363098012,6505.0923085116665,0.0018998033043577057,3252.5471041574856,False,False,False
f_donchian_pos_20,0.06158173084259033,18880.0,5.8316157755280305,0.014955345888265891,0.005758216689796536,0.009446913526645128,6295.297732502124,0.010053492034902519,3147.653892997079,False,False,False
f_bandwidth_20,0.06329362839460373,17959.0,5.646639620281196,0.0051005073554544755,0.0009145406327393246,0.004721607676060125,5988.236644416225,0.0035788852214179746,2994.120111650723,False,False,False
f_ret_12,0.05953569337725639,17349.0,4.534205219195914,0.009385133885989428,0.007870667541368993,0.0070185135964214605,5784.531246970858,0.00809143834125996,2892.2696692045993,False,False,False
f_ret_24,0.06371839344501495,19415.0,6.393456945077924,0.00412300344854657,0.002970159755069168,0.003062645959815835,6473.8190584461745,0.003385269721143858,3236.911221857948,False,False,False
f_rolling_std_ret_5,0.06410730630159378,21328.0,7.061000150714738,0.000695448998545789,0.0028270813687860663,0.001561716320190909,7111.708369152339,0.0016947488958409215,3555.855031950617,False,False,False
f_zscore_close_50,0.06225878372788429,18183.0,6.072279834552335,0.0014064742073098713,0.00042358871929076836,0.001797907286526268,6063.044846206093,0.001209323404375636,3031.5230277647493,False,False,False
f_vwap_dev_over_atr14,0.06076529994606972,18784.0,6.239228537227517,0.004350067531267887,0.002782171991983673,0.005926813802034703,6263.433331279058,0.004353017775095422,3131.7188421484166,False,False,False
f_bb_squeeze_20,0.06179417297244072,18909.0,5.793341905207995,0.004307735992316208,0.0031993293167495106,0.0013623290866159766,6304.951712026061,0.0029564647985605656,3152.4773342454296,False,False,False
f_stdret20_over_atr14,0.06181447580456734,20740.0,6.711853243030385,0.007082067546077176,0.007079091948243621,0.0049266669528657105,6915.591222572944,0.006362608815728835,3457.79879259088,False,False,False
