,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_macd_12_26_9_hist,0.05481436848640442,17139.0,5.021964038488807,-0.003055247303500952,-0.0018123904465681573,0.0014866729269577216,5714.692259468992,-0.0011269882743704625,2857.345566240358,False,False,False
f_di_diff_14,0.05582239106297493,16932.0,5.069246558785353,0.0034032107467357577,0.0042962089787130005,0.0031577258659284124,5645.708356316616,0.003619048530459057,2822.8559876825734,False,False,False
f_adx_14,0.05588202551007271,21033.0,7.997364967147699,-0.0005480475368092597,-0.0004695432703983093,0.0005110568589818398,7013.684415664219,-0.00016884464940857642,3506.8421234097855,False,False,False
f_roc_5,0.052344754338264465,16171.0,3.8684711583845317,0.0010106005688541476,0.001703091334065565,0.00213006166950766,5391.640271970908,0.0016145845241424576,2695.8209432777157,False,False,False
f_atr_14_pct,0.057622697204351425,19856.0,7.311374647421689,0.0014507304139227185,0.002982197602565029,-0.00032864833607529895,6621.122999114876,0.0013680932268041498,3310.5621836040514,False,False,False
f_return_std_20,0.0580693781375885,20522.0,8.498081707596922,0.0026689737082378484,0.0010979484971967214,0.0032836493585958193,6843.518717028578,0.002350190521343463,3421.76053360955,False,False,False
f_range_over_atr,0.05449522286653519,17216.0,4.252007370157325,0.0009220012457723748,0.0001248639643886218,-0.0008312257975930159,5740.102167531008,7.187980418932689e-05,2870.051119705406,False,False,False
f_donchian_pos_20,0.05293019488453865,13314.0,2.971311692730695,0.00023197928564874237,0.006175455729135559,0.002307354707972542,4439.008080629205,0.002904929907585615,2219.5054927795563,False,False,False
f_bandwidth_20,0.05657820403575897,18544.0,6.06071977332897,-6.931474398157445e-05,0.002385406848879346,0.0032816589477639877,6183.372432659122,0.0018659170175539198,3091.6871492880696,False,False,False
f_ret_12,0.052485521882772446,15283.0,3.764496648952192,0.0010396920698780177,0.0061835321808141105,0.004898690548227125,5095.605660723611,0.004040638266306418,2547.8048506809387,False,False,False
f_ret_24,0.05625931918621063,17679.0,5.509160204294892,0.002261570900771848,0.0026342907003708226,0.003433911970811265,5894.855139841161,0.0027765911906513113,2947.428958216176,False,False,False
f_rolling_std_ret_5,0.05757330730557442,19598.0,6.241332543554972,-0.0033361584114342756,-0.0029230078435529714,0.0009093433555823705,6534.766301950287,-0.0017832742998016252,3267.3822593379937,False,False,False
f_zscore_close_50,0.05491204559803009,16266.0,5.123196007133882,-0.0015774497096230245,-0.001346634878210129,-0.0007922952866745824,5423.726036017578,-0.0012387932915025786,2711.8623986121434,False,False,False
f_vwap_dev_over_atr14,0.05443866178393364,16810.0,5.377737452581853,-0.0031876610580050535,0.00163102538377059,0.0017643537667630382,5605.144058704788,6.923936417619161e-05,2802.5720639720766,False,False,False
f_donchian_dist_upper_20_over_atr14,0.05437329784035683,15625.0,4.336940263857839,0.0019953022470242388,0.002938253743315167,0.0036826985873152918,5209.797104520566,0.002872084859218232,2604.8999883027127,False,False,False
f_donchian_dist_lower_20_over_atr14,0.05384980887174606,15434.0,4.658101562240562,0.0029471105581984013,0.0023324810771158553,0.006297803757358156,5146.237317123704,0.003859131797557471,2573.120588127751,False,False,False
f_bars_since_upper_break_20,0.0589909628033638,16792.0,6.985464655836327,0.0032752885183517377,0.002423793226245463,0.002372418051874203,5599.681485206213,0.0026904999321571347,2799.842087853073,False,False,False
f_bars_since_lower_break_20,0.05855788290500641,15786.0,6.953028747505506,-0.003455525117873359,-0.0028581709994679127,0.0024750508422954677,5264.33719554347,-0.0012795484250152681,2632.1679579975225,False,False,False
