iter	Logloss
193	0.6855170922
194	0.685501145
195	0.6854853856
196	0.6854669771
197	0.6854482183
198	0.6854321629
199	0.6854134138
200	0.6853929316
201	0.6853752406
202	0.6853586691
203	0.6853482006
204	0.6853296903
205	0.6853049083
206	0.6852880618
207	0.6852657825
208	0.6852525849
209	0.6852348421
210	0.6852146746
211	0.685196005
212	0.6851824445
213	0.6851660553
214	0.6851509932
215	0.6851364564
216	0.6851210112
217	0.6851088916
218	0.6850889266
219	0.6850658468
220	0.6850546379
221	0.6850316904
222	0.6850204275
223	0.6850100446
224	0.6849949079
225	0.6849794618
226	0.6849653472
227	0.6849464114
228	0.6849126215
229	0.6848935671
230	0.6848825991
231	0.6848573346
232	0.6848413587
233	0.6848224794
234	0.6848076885
235	0.6847942365
236	0.6847750117
237	0.6847558891
238	0.6847390538
239	0.6847242724
240	0.6847131474
241	0.6846876457
242	0.6846717078
243	0.6846604154
244	0.6846462899
245	0.6846245293
246	0.6846060004
247	0.6845935385
248	0.6845754014
249	0.6845597344
250	0.6845372197
251	0.6845205225
252	0.6845052342
253	0.6844917456
254	0.6844722613
255	0.6844552209
256	0.6844404358
257	0.6844290344
258	0.6844131424
259	0.6843926285
260	0.684373552
261	0.684358185
262	0.6843427253
263	0.6843271365
264	0.6843119198
265	0.6842939869
266	0.6842672709
267	0.6842478448
268	0.684228637
269	0.6842118214
270	0.6841941591
271	0.6841835199
272	0.6841708167
273	0.6841549652
274	0.6841334593
275	0.6841171663
276	0.6841055541
277	0.6840909359
278	0.6840729496
279	0.6840550744
280	0.6840443254
281	0.6840263101
282	0.6840092187
283	0.6839864653
284	0.6839706304
285	0.683951864
286	0.683937006
287	0.6839199618
288	0.6839012482
289	0.6838822758
290	0.6838656279
291	0.6838462689
292	0.6838353644
293	0.6838174516
294	0.6838003503
295	0.6837896455
296	0.6837800516
297	0.6837631031
298	0.6837516214
299	0.6837348003
300	0.6837177813
301	0.6837011239
302	0.6836819252
303	0.6836690484
304	0.6836569885
305	0.6836367335
306	0.6836231624
307	0.6836118843
308	0.6835939037
309	0.6835805056
310	0.6835631081
311	0.6835407774
312	0.6835248504
313	0.6835108247
314	0.6834948541
315	0.683477161
316	0.6834561945
317	0.6834451468
318	0.6834354758
319	0.6834206471
320	0.6833950069
321	0.6833818012
322	0.6833640464
323	0.6833479408
324	0.6833270924
325	0.6833053514
326	0.6832923993
327	0.6832732746
328	0.6832573753
329	0.6832372799
330	0.6832180751
331	0.6832057268
332	0.683188691
333	0.6831736574
334	0.6831587738
335	0.6831457157
336	0.6831346425
337	0.6831201583
338	0.6831036866
339	0.6830845737
340	0.6830740667
341	0.6830624699
342	0.6830475327
343	0.6830278832
344	0.6830126506
345	0.6829976031
346	0.6829821643
347	0.6829677425
348	0.682956508
349	0.6829421448
350	0.6829280331
351	0.6829075372
352	0.6828868532
353	0.6828732972
354	0.6828564844
355	0.6828455067
356	0.6828290636
357	0.682814147
358	0.6828017758
359	0.6827894141
360	0.6827760699
361	0.6827589827
362	0.6827476464
363	0.6827296875
364	0.6827146266
365	0.682698868
366	0.6826885412
367	0.682671716
368	0.6826573022
369	0.6826416249
370	0.6826324481
371	0.6826175312
372	0.6826021989
373	0.682589296
374	0.6825682042
375	0.6825530146
376	0.6825437194
377	0.6825284034
378	0.682514132
379	0.6824961533
380	0.6824774584
381	0.6824625938
382	0.6824469681
